epci_siren,epci_nom,epci_type,code_commune,nom_commune
200030633,CA du Caudrésis et du Catésis,CA,59496,Rejet-de-Beaulieu
200030633,CA du Caudrésis et du Catésis,CA,59498,Reumont
200030633,CA du Caudrésis et du Catésis,CA,59528,Saint-Aubert
200030633,CA du Caudrésis et du Catésis,CA,59531,Saint-Benin
200030633,CA du Caudrésis et du Catésis,CA,59533,Saint-Hilaire-lez-Cambrai
200030633,CA du Caudrésis et du Catésis,CA,59545,Saint-Souplet
200030633,CA du Caudrésis et du Catésis,CA,59547,Saint-Vaast-en-Cambrésis
200030633,CA du Caudrésis et du Catésis,CA,59604,Troisvilles
200030633,CA du Caudrésis et du Catésis,CA,59624,Villers-Outréaux
200030633,CA du Caudrésis et du Catésis,CA,59631,Walincourt-Selvigny
200040947,CA Coeur de Flandre,CA,59018,Arnèke
200040947,CA Coeur de Flandre,CA,59043,Bailleul
200040947,CA Coeur de Flandre,CA,59054,Bavinchove
200040947,CA Coeur de Flandre,CA,59073,Berthen
200040947,CA Coeur de Flandre,CA,59084,Blaringhem
200040947,CA Coeur de Flandre,CA,59086,Boeschepe
200040947,CA Coeur de Flandre,CA,59087,Boëseghem
200040947,CA Coeur de Flandre,CA,59091,Borre
200040947,CA Coeur de Flandre,CA,59119,Buysscheure
200040947,CA Coeur de Flandre,CA,59120,Caëstre
200040947,CA Coeur de Flandre,CA,59135,Cassel
200040947,CA Coeur de Flandre,CA,59184,Ebblinghem
200040947,CA Coeur de Flandre,CA,59189,Eecke
200040947,CA Coeur de Flandre,CA,59237,Flêtre
200040947,CA Coeur de Flandre,CA,59262,Godewaersvelde
200040947,CA Coeur de Flandre,CA,59282,Hardifort
200040947,CA Coeur de Flandre,CA,59295,Hazebrouck
200040947,CA Coeur de Flandre,CA,59308,Hondeghem
200040947,CA Coeur de Flandre,CA,59318,Houtkerque
200040947,CA Coeur de Flandre,CA,59180,Le Doulieu
200040947,CA Coeur de Flandre,CA,59366,Lynde
200040947,CA Coeur de Flandre,CA,59399,Merris
200040947,CA Coeur de Flandre,CA,59401,Méteren
200040947,CA Coeur de Flandre,CA,59416,Morbecque
200040947,CA Coeur de Flandre,CA,59423,Neuf-Berquin
200040947,CA Coeur de Flandre,CA,59431,Nieppe
200040947,CA Coeur de Flandre,CA,59436,Noordpeene
200040947,CA Coeur de Flandre,CA,59443,Ochtezeele
200040947,CA Coeur de Flandre,CA,59453,Oudezeele
200040947,CA Coeur de Flandre,CA,59454,Oxelaëre
200040947,CA Coeur de Flandre,CA,59469,Pradelles
200040947,CA Coeur de Flandre,CA,59497,Renescure
200040947,CA Coeur de Flandre,CA,59516,Rubrouck
200040947,CA Coeur de Flandre,CA,59536,Sainte-Marie-Cappel
200040947,CA Coeur de Flandre,CA,59535,Saint-Jans-Cappel
200040947,CA Coeur de Flandre,CA,59546,Saint-Sylvestre-Cappel
200040947,CA Coeur de Flandre,CA,59568,Sercus
200040947,CA Coeur de Flandre,CA,59577,Staple
200040947,CA Coeur de Flandre,CA,59578,Steenbecque
200040947,CA Coeur de Flandre,CA,59580,Steenvoorde
200040947,CA Coeur de Flandre,CA,59581,Steenwerck
200040947,CA Coeur de Flandre,CA,59582,Strazeele
200040947,CA Coeur de Flandre,CA,59587,Terdeghem
200040947,CA Coeur de Flandre,CA,59590,Thiennes
200040947,CA Coeur de Flandre,CA,59615,Vieux-Berquin
200040947,CA Coeur de Flandre,CA,59634,Wallon-Cappel
200040947,CA Coeur de Flandre,CA,59655,Wemaers-Cappel
200040947,CA Coeur de Flandre,CA,59662,Winnezeele
200040947,CA Coeur de Flandre,CA,59667,Zermezeele
200040947,CA Coeur de Flandre,CA,59669,Zuytpeene
200040954,CC des Hauts de Flandre,CC,59046,Bambecque
200040954,CC des Hauts de Flandre,CC,59067,Bergues
200040954,CC des Hauts de Flandre,CC,59082,Bierne
200040954,CC des Hauts de Flandre,CC,59083,Bissezeele
200040954,CC des Hauts de Flandre,CC,59089,Bollezeele
200040954,CC des Hauts de Flandre,CC,59110,Brouckerque
200040954,CC des Hauts de Flandre,CC,59111,Broxeele
200040954,CC des Hauts de Flandre,CC,59130,Cappelle-Brouck
