code_commune,nom_commune,epci_nom,categorie_priorite,score_fragilite,nb_commerces_manquants,liste_manquants
59200,ERINGHEM,CC des Hauts de Flandre,Priorité B,46.7,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59201,ERQUINGHEM-LE-SEC,Métropole Européenne de Lille,Priorité B,43.89,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59204,ESCARMAIN,CC du Pays Solesmois,Priorité B,47.25,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59207,ESCAUTPONT,CA de la Porte du Hainaut,Priorité B,54.53,4,"Boulangerie, Boucherie, Coiffeur, Bar-Café"
59208,ESCOBECQUES,Métropole Européenne de Lille,Priorité B,42.62,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59209,ESNES,CA de Cambrai,Priorité B,55.02,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59213,ESTOURMEL,CA du Caudrésis et du Catésis,Priorité B,46.56,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59214,ESTREES,CA Douaisis Agglo,Priorité B,45.85,6,"Boulangerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59216,ESWARS,CA de Cambrai,Priorité B,48.95,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59217,ETH,CC du Pays de Mormal,Priorité B,43.36,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59222,FAUMONT,CA Douaisis Agglo,Priorité B,45.96,6,"Boulangerie, Épicerie, Pharmacie, Tabac-Presse, Coiffeur, Bar-Café"
59231,FERRIERE-LA-PETITE,CA Maubeuge Val de Sambre,Priorité B,47.85,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59232,LA FLAMENGRIE,CC du Pays de Mormal,Priorité B,46.15,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59233,FLAUMONT-WAUDRECHIES,CC Coeur de l'Avesnois,Priorité B,55.12,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59238,FLINES-LES-MORTAGNE,CA de la Porte du Hainaut,Priorité B,46.3,6,"Boulangerie, Épicerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59247,FOREST-SUR-MARQUE,Métropole Européenne de Lille,Priorité B,47.16,5,"Boulangerie, Épicerie, Tabac-Presse, Coiffeur, Bar-Café"
59249,FOURMIES,CC du Sud Avesnois,Priorité B,54.51,3,"Boulangerie, Coiffeur, Bar-Café"
59253,FRESNES-SUR-ESCAUT,CA Valenciennes Métropole,Priorité B,50.81,3,"Tabac-Presse, Coiffeur, Bar-Café"
59259,GHISSIGNIES,CC du Pays de Mormal,Priorité B,50.56,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59263,GŒULZIN,CA Douaisis Agglo,Priorité B,43.8,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59264,GOGNIES-CHAUSSEE,CA Maubeuge Val de Sambre,Priorité B,49.53,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59271,GRANDE-SYNTHE,CU de Dunkerque,Priorité B,55.93,2,"Coiffeur, Bar-Café"
59276,GUESNAIN,CA Douaisis Agglo,Priorité B,51.66,3,"Tabac-Presse, Coiffeur, Bar-Café"
59287,HAUCOURT-EN-CAMBRESIS,CA du Caudrésis et du Catésis,Priorité B,49.2,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59291,HAUTMONT,CA Maubeuge Val de Sambre,Priorité B,55.83,3,"Tabac-Presse, Coiffeur, Bar-Café"
59292,HAVELUY,CA de la Porte du Hainaut,Priorité B,54.39,5,"Boulangerie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
59296,HECQ,CC du Pays de Mormal,Priorité B,52.73,7,"Boulangerie, Épicerie, Pharmacie, Boucherie, Tabac-Presse, Coiffeur, Bar-Café"
