code_commune,nom_commune,epci_nom,population,taux_chomage,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale,solde_net,score_mortalite,score_solde,score_densite,score_chomage,score_fragilite,quartile,cluster,profil,categorie_priorite
59047,BANTEUX,CA de Cambrai,339.0,15.0,5,3,2,40.0,8.849557522123893,1,10.0,0.11,22.96,9.77,42.84,Q2-Stable,0.0,Dynamique,Non prioritaire
59048,BANTIGNY,CA de Cambrai,494.0,13.44,6,3,3,50.0,6.0728744939271255,0,12.5,0.11,23.6,8.76,44.97,Q3-Fragilisé,0.0,Dynamique,Priorité B
59049,BANTOUZELLE,CA de Cambrai,441.0,12.73,9,2,7,77.77777777777779,4.535147392290249,-5,19.44,0.14,23.95,8.29,51.84,Q4-Fragile,3.0,Désertifié,Priorité B
59050,BAS-LIEU,CC Coeur de l'Avesnois,348.0,17.06,9,0,9,100.0,0.0,-9,25.0,0.17,25.0,11.12,61.28,Q4-Fragile,3.0,Désertifié,Priorité A
59051,LA BASSEE,Métropole Européenne de Lille,6650.0,12.34,297,116,181,60.94276094276094,17.44360902255639,-65,15.24,0.52,20.98,8.04,44.77,Q3-Fragilisé,0.0,Dynamique,Non prioritaire
59052,BAUVIN,Métropole Européenne de Lille,5249.0,12.41,117,52,65,55.55555555555556,9.906648885502,-13,13.89,0.19,22.72,8.09,44.88,Q3-Fragilisé,0.0,Dynamique,Non prioritaire
59053,BAVAY,CC du Pays de Mormal,3249.0,18.51,124,53,71,57.25806451612904,16.312711603570328,-18,14.31,0.22,21.24,12.06,47.84,Q4-Fragile,1.0,Précaire,Non prioritaire
59054,BAVINCHOVE,CA Coeur de Flandre,1045.0,11.13,18,6,12,66.66666666666666,5.741626794258374,-6,16.67,0.15,23.68,7.25,47.74,Q4-Fragile,3.0,Désertifié,Priorité B
59055,BAZUEL,CA du Caudrésis et du Catésis,551.0,16.17,14,4,10,71.42857142857143,7.259528130671506,-6,17.86,0.15,23.33,10.54,51.87,Q4-Fragile,3.0,Désertifié,Priorité B
59056,BEAUCAMPS-LIGNY,Métropole Européenne de Lille,845.0,5.77,41,19,22,53.65853658536586,22.485207100591715,-3,13.41,0.13,19.81,3.76,37.12,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59057,BEAUDIGNIES,CC du Pays de Mormal,574.0,10.13,14,6,8,57.14285714285714,10.452961672473869,-2,14.29,0.12,22.59,6.6,43.6,Q2-Stable,3.0,Désertifié,Non prioritaire
59058,BEAUFORT,CA Maubeuge Val de Sambre,995.0,10.18,28,14,14,50.0,14.07035175879397,0,12.5,0.11,21.76,6.63,41.0,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59059,BEAUMONT-EN-CAMBRESIS,CA du Caudrésis et du Catésis,458.0,15.27,17,4,13,76.47058823529412,8.73362445414847,-9,19.12,0.17,22.99,9.95,52.22,Q4-Fragile,3.0,Désertifié,Priorité B
59060,BEAURAIN,CC du Pays Solesmois,234.0,11.71,7,4,3,42.85714285714285,17.094017094017094,1,10.71,0.11,21.06,7.63,39.51,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59061,BEAUREPAIRE-SUR-SAMBRE,CC Coeur de l'Avesnois,272.0,14.02,8,4,4,50.0,14.705882352941176,0,12.5,0.11,21.61,9.13,43.36,Q2-Stable,0.0,Dynamique,Non prioritaire
59062,BEAURIEUX,CC Coeur de l'Avesnois,169.0,8.82,6,2,4,66.66666666666666,11.83431952662722,-2,16.67,0.12,22.27,5.75,44.81,Q3-Fragilisé,3.0,Désertifié,Non prioritaire
59063,BEAUVOIS-EN-CAMBRESIS,CA du Caudrésis et du Catésis,1933.0,22.67,113,50,63,55.75221238938053,25.86652871184687,-13,13.94,0.19,19.04,14.77,47.94,Q4-Fragile,1.0,Précaire,Non prioritaire
59064,BELLAING,CA de la Porte du Hainaut,1301.0,13.45,37,21,16,43.24324324324324,16.141429669485014,5,10.81,0.08,21.28,8.76,40.93,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59065,BELLIGNIES,CC du Pays de Mormal,810.0,9.41,20,9,11,55.00000000000001,11.11111111111111,-2,13.75,0.12,22.44,6.13,42.44,Q2-Stable,0.0,Dynamique,Non prioritaire
59066,BERELLES,CC Coeur de l'Avesnois,163.0,8.79,5,3,2,40.0,18.404907975460123,1,10.0,0.11,20.76,5.73,36.59,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59067,BERGUES,CC des Hauts de Flandre,3525.0,12.42,185,78,107,57.83783783783784,22.127659574468087,-29,14.46,0.29,19.9,8.09,42.74,Q2-Stable,0.0,Dynamique,Non prioritaire
59068,BERLAIMONT,CA Maubeuge Val de Sambre,3159.0,20.58,102,49,53,51.9607843137255,15.511237733459955,-4,12.99,0.14,21.42,13.41,47.96,Q4-Fragile,1.0,Précaire,Non prioritaire
59069,BERMERAIN,CC du Pays Solesmois,778.0,12.63,11,3,8,72.72727272727273,3.8560411311053984,-5,18.18,0.14,24.11,8.23,50.67,Q4-Fragile,3.0,Désertifié,Priorité B
59070,BERMERIES,,,11.56,12,5,7,58.333333333333336,,-2,,,,,,,,,Non prioritaire
59071,BERSEE,CC Pévèle-Carembault,2318.0,7.31,59,18,41,69.49152542372882,7.765314926660914,-23,17.37,0.26,23.21,4.76,45.6,Q3-Fragilisé,3.0,Désertifié,Priorité B
59072,BERSILLIES,CA Maubeuge Val de Sambre,237.0,8.89,5,3,2,40.0,12.658227848101266,1,10.0,0.11,22.08,5.79,37.98,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59073,BERTHEN,CA Coeur de Flandre,627.0,6.68,15,8,7,46.66666666666666,12.759170653907496,1,11.67,0.11,22.06,4.35,38.18,Q1-Dynamique,0.0,Dynamique,Non prioritaire
59074,BERTRY,CA du Caudrésis et du Catésis,2140.0,14.39,61,30,31,50.81967213114754,14.018691588785046,-1,12.7,0.12,21.77,9.38,43.97,Q2-Stable,0.0,Dynamique,Non prioritaire
59075,BETHENCOURT,CA du Caudrésis et du Catésis,689.0,13.23,21,6,15,71.42857142857143,8.708272859216256,-9,17.86,0.17,22.99,8.62,49.64,Q4-Fragile,3.0,Désertifié,Non prioritaire
59076,BETTIGNIES,CA Maubeuge Val de Sambre,343.0,15.33,7,1,6,85.71428571428571,2.915451895043732,-5,21.43,0.14,24.33,9.99,55.89,Q4-Fragile,3.0,Désertifié,Priorité B
59077,BETTRECHIES,CC du Pays de Mormal,253.0,14.29,12,6,6,50.0,23.715415019762844,0,12.5,0.11,19.53,9.31,41.45,Q2-Stable,0.0,Dynamique,Non prioritaire
