code_commune,nom_commune,epci_siren,epci_nom,epci_type,population,taux_chomage,revenu_median,total_etablissements,nb_actifs,nb_fermes,taux_mortalite,densite_commerciale
59068,BERLAIMONT,200043396,CA Maubeuge Val de Sambre,CA,3159.0,20.58,9000.0,102,49,53,51.9607843137255,15.511237733459957
59069,BERMERAIN,245901038,CC du Pays Solesmois,CC,778.0,12.63,,11,3,8,72.72727272727273,3.8560411311053984
59070,BERMERIES,,,,,11.56,,12,5,7,58.333333333333336,
59071,BERSEE,200041960,CC Pévèle-Carembault,CC,2318.0,7.31,,59,18,41,69.49152542372882,7.765314926660914
59072,BERSILLIES,200043396,CA Maubeuge Val de Sambre,CA,237.0,8.89,,5,3,2,40.0,12.658227848101266
59073,BERTHEN,200040947,CA Coeur de Flandre,CA,627.0,6.68,,15,8,7,46.666666666666664,12.759170653907496
59074,BERTRY,200030633,CA du Caudrésis et du Catésis,CA,2140.0,14.39,9190.0,61,30,31,50.81967213114754,14.018691588785046
59075,BETHENCOURT,200030633,CA du Caudrésis et du Catésis,CA,689.0,13.23,,21,6,15,71.42857142857143,8.708272859216256
59076,BETTIGNIES,200043396,CA Maubeuge Val de Sambre,CA,343.0,15.33,,7,1,6,85.71428571428571,2.9154518950437316
59077,BETTRECHIES,200043321,CC du Pays de Mormal,CC,253.0,14.29,,12,6,6,50.0,23.715415019762844
59078,BEUGNIES,200043263,CC Coeur de l'Avesnois,CC,599.0,11.8,,22,13,9,40.909090909090914,21.702838063439067
59079,BEUVRAGES,245901160,CA Valenciennes Métropole,CA,6796.0,27.23,7060.0,186,61,125,67.20430107526882,8.975868157739846
59080,BEUVRY-LA-FORET,200041960,CC Pévèle-Carembault,CC,2861.0,5.91,10480.0,78,36,42,53.84615384615385,12.583012932541068
59081,BEVILLERS,200030633,CA du Caudrésis et du Catésis,CA,529.0,16.27,,18,8,10,55.55555555555556,15.122873345935727
59082,BIERNE,200040954,CC des Hauts de Flandre,CC,1716.0,5.96,,36,16,20,55.55555555555556,9.324009324009324
59083,BISSEZEELE,200040954,CC des Hauts de Flandre,CC,239.0,2.54,,2,1,1,50.0,4.184100418410042
59084,BLARINGHEM,200040947,CA Coeur de Flandre,CA,2008.0,9.49,9660.0,63,30,33,52.38095238095239,14.9402390438247
59085,BLECOURT,200068500,CA de Cambrai,CA,313.0,8.5,,10,2,8,80.0,6.389776357827476
59086,BOESCHEPE,200040947,CA Coeur de Flandre,CA,2244.0,6.11,10030.0,108,40,68,62.96296296296296,17.825311942959
59087,BOESEGHEM,200040947,CA Coeur de Flandre,CA,766.0,9.56,,17,6,11,64.70588235294117,7.83289817232376
59088,BOIS-GRENIER,200093201,Métropole Européenne de Lille,METRO,1775.0,6.66,,62,28,34,54.83870967741935,15.774647887323944
59089,BOLLEZEELE,200040954,CC des Hauts de Flandre,CC,1445.0,12.92,,45,20,25,55.55555555555556,13.840830449826989
59090,BONDUES,200093201,Métropole Européenne de Lille,METRO,9747.0,7.43,8830.0,471,174,297,63.05732484076433,17.851646660510927
59091,BORRE,200040947,CA Coeur de Flandre,CA,553.0,5.05,,13,9,4,30.76923076923077,16.274864376130196
59092,BOUCHAIN,200042190,CA de la Porte du Hainaut,CA,4113.0,15.07,9240.0,124,55,69,55.64516129032258,13.372234378798929
59093,BOULOGNE-SUR-HELPE,200043263,CC Coeur de l'Avesnois,CC,291.0,12.98,,4,1,3,75.0,3.436426116838488
